,GT,Pred,L1,rL1,ID
0,4.81889,1.0924494,3.7264407,0.77329856,mic_sigs2233.wav
1,5.125866,2.8078413,2.3180246,0.4522211,mic_sigs0352.wav
2,10.217231,8.260913,1.9563179,0.19147243,mic_sigs1370.wav
3,3.1182528,4.819962,1.7017093,0.5457252,mic_sigs1019.wav
4,3.3343666,3.933705,0.59933853,0.17974584,mic_sigs0334.wav
5,3.7454638,6.190378,2.4449143,0.65276676,mic_sigs1469.wav
6,6.821635,6.9278216,0.10618687,0.015566191,mic_sigs2329.wav
7,1.0686908,1.1811318,0.11244106,0.10521384,mic_sigs1517.wav
8,3.9438179,3.8433883,0.100429535,0.025465054,mic_sigs2038.wav
9,4.270609,4.7022953,0.4316864,0.1010831,mic_sigs2141.wav
10,8.048242,8.618068,0.5698261,0.07080132,mic_sigs0053.wav
11,1.7137386,3.054543,1.3408045,0.78238565,mic_sigs2392.wav
12,1.3770984,2.830456,1.4533576,1.0553766,mic_sigs0110.wav
13,7.4811563,4.9373627,2.5437937,0.3400268,mic_sigs0187.wav
14,2.3937418,4.4558816,2.0621397,0.86147124,mic_sigs2243.wav
15,1.1789402,0.94331545,0.23562473,0.19986148,mic_sigs1338.wav
16,4.9513836,4.9798336,0.028450012,0.005745871,mic_sigs1775.wav
17,4.9401317,3.8470666,1.093065,0.22126232,mic_sigs1706.wav
18,4.4559736,3.252682,1.2032917,0.27004012,mic_sigs0104.wav
19,3.2787955,3.2871082,0.008312702,0.0025352915,mic_sigs0318.wav
20,5.6540074,5.2817836,0.37222385,0.065833636,mic_sigs0568.wav
21,6.3067346,6.99294,0.6862054,0.10880518,mic_sigs2482.wav
22,5.1921287,2.278949,2.9131796,0.56107616,mic_sigs0313.wav
23,3.9599242,2.4185119,1.5414124,0.389253,mic_sigs1490.wav
24,5.5782166,1.9822867,3.5959299,0.6446379,mic_sigs1319.wav
25,2.3152106,3.1782124,0.8630018,0.37275305,mic_sigs2198.wav
26,1.0506189,1.770777,0.7201581,0.6854608,mic_sigs1786.wav
