,GT,Pred,L1,rL1,ID
0,4.81889,2.2558591,2.563031,0.5318716,mic_sigs2233.wav
1,5.125866,3.2300367,1.8958292,0.3698554,mic_sigs0352.wav
2,10.217231,7.720109,2.4971218,0.24440299,mic_sigs1370.wav
3,3.1182528,1.9499464,1.1683064,0.374667,mic_sigs1019.wav
4,3.3343666,3.7537608,0.41939425,0.12577929,mic_sigs0334.wav
5,3.7454638,2.1905718,1.5548921,0.41514006,mic_sigs1469.wav
6,6.821635,6.1327353,0.6888995,0.10098745,mic_sigs2329.wav
7,1.0686908,1.6360805,0.5673897,0.5309204,mic_sigs1517.wav
8,3.9438179,5.639039,1.6952212,0.42984268,mic_sigs2038.wav
9,4.270609,4.9315205,0.66091156,0.15475816,mic_sigs2141.wav
10,8.048242,5.049124,2.9991179,0.3726426,mic_sigs0053.wav
11,1.7137386,2.1195605,0.40582192,0.23680504,mic_sigs2392.wav
12,1.3770984,2.5642514,1.187153,0.86206836,mic_sigs0110.wav
13,7.4811563,5.4524565,2.0286999,0.27117464,mic_sigs0187.wav
14,2.3937418,3.0233293,0.6295874,0.2630139,mic_sigs2243.wav
15,1.1789402,4.5445204,3.36558,2.8547506,mic_sigs1338.wav
16,4.9513836,4.6809263,0.27045727,0.054622564,mic_sigs1775.wav
17,4.9401317,5.6220202,0.6818886,0.13803044,mic_sigs1706.wav
18,4.4559736,4.0278206,0.42815304,0.09608518,mic_sigs0104.wav
19,3.2787955,1.4574646,1.8213309,0.5554878,mic_sigs0318.wav
20,5.6540074,3.5501416,2.1038659,0.37210172,mic_sigs0568.wav
21,6.3067346,4.6098003,1.6969342,0.26906702,mic_sigs2482.wav
22,5.1921287,6.8096476,1.6175189,0.3115329,mic_sigs0313.wav
23,3.9599242,2.5391665,1.4207578,0.35878408,mic_sigs1490.wav
24,5.5782166,3.6170962,1.9611204,0.35156763,mic_sigs1319.wav
25,2.3152106,1.9176267,0.39758384,0.17172685,mic_sigs2198.wav
26,1.0506189,2.3506122,1.2999933,1.2373595,mic_sigs1786.wav
27,1.2548307,1.4411744,0.18634367,0.14850104,mic_sigs0623.wav
28,5.555205,3.5891824,1.9660225,0.3539064,mic_sigs1663.wav
29,1.6589454,2.7481427,1.0891973,0.65656006,mic_sigs1600.wav
30,4.841942,4.5605288,0.28141308,0.05811988,mic_sigs0898.wav
31,4.5872107,7.321935,2.7347245,0.59616286,mic_sigs1069.wav
32,5.205238,4.6542106,0.5510273,0.10586016,mic_sigs0673.wav
33,7.5155973,9.859045,2.3434477,0.31181124,mic_sigs1448.wav
34,2.486403,3.2429357,0.75653267,0.3042679,mic_sigs1525.wav
35,4.3288913,3.6105635,0.71832776,0.16593805,mic_sigs1249.wav
36,3.1943388,0.50283116,2.6915076,0.84258676,mic_sigs1684.wav
37,5.534302,3.8463356,1.6879666,0.30500078,mic_sigs1388.wav
38,5.5860987,5.91581,0.32971144,0.059023563,mic_sigs0886.wav
39,2.8317838,2.3944838,0.43729997,0.15442562,mic_sigs1100.wav
40,3.8182456,5.4826603,1.6644146,0.43591082,mic_sigs0025.wav
41,4.1015363,3.0334184,1.0681179,0.26041898,mic_sigs2389.wav
42,1.269685,1.325797,0.05611193,0.044193584,mic_sigs0894.wav
43,1.3173459,3.9034193,2.5860734,1.9630938,mic_sigs1981.wav
44,2.7552857,0.83267295,1.9226128,0.6977907,mic_sigs1702.wav
45,1.3489255,3.8914926,2.5425673,1.8848834,mic_sigs2092.wav
46,2.64248,1.5975223,1.0449576,0.39544582,mic_sigs1256.wav
47,2.903257,4.25551,1.352253,0.46577102,mic_sigs2379.wav
48,8.214408,7.0658646,1.1485434,0.13982059,mic_sigs1261.wav
49,7.9793234,3.016457,4.9628663,0.6219658,mic_sigs1201.wav
50,4.7264996,4.053738,0.67276144,0.1423382,mic_sigs1983.wav
51,3.4740322,5.5798426,2.1058104,0.6061574,mic_sigs1807.wav
52,2.9207704,5.5323925,2.611622,0.8941552,mic_sigs1865.wav
53,5.6301775,6.8562336,1.2260561,0.2177651,mic_sigs1073.wav
54,1.7994721,5.9079046,4.108433,2.2831323,mic_sigs0828.wav
55,2.466617,2.4143968,0.052220345,0.021170836,mic_sigs1477.wav
56,8.599355,7.1655254,1.4338293,0.16673684,mic_sigs1704.wav
57,3.2351506,3.7963,0.56114936,0.17345387,mic_sigs1800.wav
58,3.0968695,3.629311,0.5324416,0.17192899,mic_sigs0237.wav
59,5.1177144,4.7779927,0.33972168,0.06638152,mic_sigs1506.wav
60,3.1166809,10.532386,7.4157047,2.3793597,mic_sigs2304.wav
61,3.0063598,5.1254816,2.1191218,0.70487964,mic_sigs1161.wav
62,6.5764046,3.4301672,3.1462374,0.478413,mic_sigs2279.wav
63,2.4344404,7.9884176,5.553977,2.2814183,mic_sigs2307.wav
64,1.4402777,2.464447,1.0241693,0.7110916,mic_sigs1544.wav
65,7.63875,6.7539034,0.8848467,0.11583658,mic_sigs0522.wav
66,2.7692056,1.2968565,1.472349,0.5316864,mic_sigs0047.wav
67,3.6583467,3.7204192,0.062072515,0.01696737,mic_sigs1829.wav
68,4.1303997,4.0241156,0.10628414,0.025732169,mic_sigs2365.wav
69,7.8686404,6.845266,1.0233746,0.13005735,mic_sigs1158.wav
70,1.8476472,3.561933,1.7142859,0.927821,mic_sigs1441.wav
71,3.974846,3.335852,0.638994,0.16075943,mic_sigs0692.wav
72,1.4378804,3.1678936,1.7300133,1.2031691,mic_sigs0857.wav
73,2.3836527,5.1679077,2.784255,1.1680623,mic_sigs1361.wav
74,1.8810104,2.6491125,0.76810205,0.40834546,mic_sigs1396.wav
75,2.4617271,6.4978704,4.0361433,1.6395576,mic_sigs1397.wav
76,5.269393,9.395004,4.1256113,0.7829386,mic_sigs1794.wav
77,2.4203513,2.4844344,0.0640831,0.026476776,mic_sigs2148.wav
78,9.0101385,5.8700786,3.14006,0.34850296,mic_sigs1282.wav
79,5.31496,3.1242547,2.1907053,0.4121772,mic_sigs0769.wav
80,1.2943724,2.6805031,1.3861307,1.0708902,mic_sigs2031.wav
81,3.8451009,1.6324269,2.2126741,0.5754528,mic_sigs0164.wav
82,3.0426798,3.2286205,0.18594074,0.061110847,mic_sigs1470.wav
83,5.1168447,4.7443986,0.37244606,0.07278823,mic_sigs1980.wav
84,4.510987,3.2179558,1.293031,0.28664038,mic_sigs1938.wav
85,4.830176,1.6006196,3.2295563,0.6686208,mic_sigs0287.wav
