,GT,Pred,L1,rL1,ID
0,4.81889,4.7780805,0.04080963,0.008468678,mic_sigs2233.wav
1,5.125866,4.883632,0.24223375,0.047257137,mic_sigs0352.wav
2,10.217231,9.639283,0.5779476,0.056565974,mic_sigs1370.wav
3,3.1182528,2.9941382,0.12411451,0.03980258,mic_sigs1019.wav
4,3.3343666,3.2512083,0.083158255,0.024939746,mic_sigs0334.wav
5,3.7454638,3.7761943,0.030730486,0.008204721,mic_sigs1469.wav
6,6.821635,6.6290927,0.19254208,0.02822521,mic_sigs2329.wav
7,1.0686908,1.3669404,0.2982496,0.2790794,mic_sigs1517.wav
8,3.9438179,3.8923903,0.051427603,0.0130400555,mic_sigs2038.wav
9,4.270609,4.339747,0.06913805,0.016189272,mic_sigs2141.wav
10,8.048242,8.001567,0.04667473,0.00579937,mic_sigs0053.wav
11,1.7137386,1.3460281,0.36771047,0.21456626,mic_sigs2392.wav
12,1.3770984,1.3909625,0.01386404,0.010067574,mic_sigs0110.wav
13,7.4811563,6.9808097,0.50034666,0.06688093,mic_sigs0187.wav
14,2.3937418,2.3430986,0.050643206,0.021156503,mic_sigs2243.wav
15,1.1789402,1.2836035,0.10466337,0.08877751,mic_sigs1338.wav
16,4.9513836,4.8053374,0.14604616,0.02949603,mic_sigs1775.wav
17,4.9401317,5.048184,0.10805225,0.021872343,mic_sigs1706.wav
18,4.4559736,4.4742455,0.018271923,0.004100546,mic_sigs0104.wav
19,3.2787955,3.2624714,0.016324043,0.0049786707,mic_sigs0318.wav
20,5.6540074,5.7386875,0.08468008,0.014977002,mic_sigs0568.wav
21,6.3067346,6.3807635,0.07402897,0.011738082,mic_sigs2482.wav
22,5.1921287,5.0612974,0.13083124,0.025197998,mic_sigs0313.wav
23,3.9599242,3.958993,0.00093126297,0.00023517192,mic_sigs1490.wav
24,5.5782166,5.8240294,0.2458129,0.044066574,mic_sigs1319.wav
25,2.3152106,2.2824264,0.032784224,0.014160364,mic_sigs2198.wav
26,1.0506189,1.1162326,0.06561375,0.062452473,mic_sigs1786.wav
27,1.2548307,1.3413221,0.08649135,0.06892671,mic_sigs0623.wav
28,5.555205,5.760147,0.20494223,0.03689193,mic_sigs1663.wav
29,1.6589454,1.4262705,0.23267496,0.14025474,mic_sigs1600.wav
30,4.841942,4.5690975,0.2728443,0.056350183,mic_sigs0898.wav
31,4.5872107,4.5021996,0.085011005,0.018532177,mic_sigs1069.wav
32,5.205238,5.175284,0.029953957,0.00575458,mic_sigs0673.wav
33,7.5155973,7.4893317,0.026265621,0.0034948147,mic_sigs1448.wav
34,2.486403,2.2397485,0.24665451,0.099201344,mic_sigs1525.wav
35,4.3288913,4.441678,0.11278677,0.026054425,mic_sigs1249.wav
36,3.1943388,3.090241,0.10409784,0.03258823,mic_sigs1684.wav
37,5.534302,5.8664727,0.3321705,0.0600203,mic_sigs1388.wav
38,5.5860987,5.696474,0.110375404,0.019758943,mic_sigs0886.wav
39,2.8317838,2.8019884,0.029795408,0.010521781,mic_sigs1100.wav
40,3.8182456,3.9278069,0.109561205,0.028694121,mic_sigs0025.wav
41,4.1015363,4.2310033,0.12946701,0.03156549,mic_sigs2389.wav
42,1.269685,1.2593572,0.010327816,0.0081341555,mic_sigs0894.wav
43,1.3173459,1.3071295,0.010216355,0.0077552567,mic_sigs1981.wav
44,2.7552857,2.7838247,0.028538942,0.010357888,mic_sigs1702.wav
45,1.3489255,1.5605454,0.21161997,0.15688041,mic_sigs2092.wav
46,2.64248,2.2086754,0.4338045,0.16416568,mic_sigs1256.wav
47,2.903257,2.960502,0.057245016,0.019717516,mic_sigs2379.wav
48,8.214408,7.9461236,0.26828432,0.032660212,mic_sigs1261.wav
49,7.9793234,8.266627,0.28730392,0.036006052,mic_sigs1201.wav
50,4.7264996,4.578527,0.14797258,0.03130701,mic_sigs1983.wav
51,3.4740322,3.5649834,0.090951204,0.0261803,mic_sigs1807.wav
52,2.9207704,2.8992407,0.021529675,0.0073712314,mic_sigs1865.wav
53,5.6301775,5.7774386,0.14726114,0.026155684,mic_sigs1073.wav
54,1.7994721,1.5680743,0.23139775,0.12859201,mic_sigs0828.wav
55,2.466617,2.3179173,0.14869976,0.060284898,mic_sigs1477.wav
56,8.599355,8.1312065,0.46814823,0.054439925,mic_sigs1704.wav
57,3.2351506,3.006681,0.22846961,0.07062101,mic_sigs1800.wav
58,3.0968695,3.009983,0.086886406,0.028056206,mic_sigs0237.wav
59,5.1177144,4.911946,0.20576859,0.040207125,mic_sigs1506.wav
60,3.1166809,2.9976454,0.11903548,0.03819303,mic_sigs2304.wav
61,3.0063598,3.0849288,0.078568935,0.026134241,mic_sigs1161.wav
62,6.5764046,6.7999687,0.22356415,0.03399489,mic_sigs2279.wav
63,2.4344404,2.488206,0.053765535,0.022085378,mic_sigs2307.wav
64,1.4402777,1.2781348,0.16214287,0.112577505,mic_sigs1544.wav
65,7.63875,7.687943,0.049192905,0.0064399154,mic_sigs0522.wav
66,2.7692056,2.964435,0.19522953,0.070500195,mic_sigs0047.wav
67,3.6583467,3.5833173,0.07502937,0.020509094,mic_sigs1829.wav
68,4.1303997,4.1155124,0.014887333,0.0036043322,mic_sigs2365.wav
69,7.8686404,7.938994,0.07035351,0.008940999,mic_sigs1158.wav
70,1.8476472,1.8422008,0.005446434,0.0029477673,mic_sigs1441.wav
71,3.974846,4.0728974,0.09805155,0.024668012,mic_sigs0692.wav
72,1.4378804,1.2304037,0.20747674,0.14429346,mic_sigs0857.wav
73,2.3836527,2.606736,0.22308326,0.09358883,mic_sigs1361.wav
74,1.8810104,1.8267713,0.054239154,0.028835116,mic_sigs1396.wav
75,2.4617271,2.3943388,0.067388296,0.027374396,mic_sigs1397.wav
76,5.269393,5.275415,0.0060219765,0.0011428216,mic_sigs1794.wav
77,2.4203513,2.3522036,0.06814766,0.028156104,mic_sigs2148.wav
78,9.0101385,8.930359,0.079779625,0.008854428,mic_sigs1282.wav
79,5.31496,5.2895947,0.025365353,0.0047724447,mic_sigs0769.wav
80,1.2943724,1.2860188,0.008353591,0.0064537767,mic_sigs2031.wav
81,3.8451009,3.9182253,0.07312441,0.019017553,mic_sigs0164.wav
82,3.0426798,2.939013,0.10366678,0.034070883,mic_sigs1470.wav
83,5.1168447,4.9840245,0.13282013,0.025957428,mic_sigs1980.wav
84,4.510987,4.5014596,0.009527206,0.0021120005,mic_sigs1938.wav
85,4.830176,4.9943194,0.16414356,0.033982936,mic_sigs0287.wav
86,5.221293,5.1387615,0.08253145,0.015806708,mic_sigs0831.wav
87,3.1952777,3.019614,0.17566371,0.05497604,mic_sigs1698.wav
88,3.9549968,4.0766683,0.12167144,0.030763978,mic_sigs1906.wav
89,2.2069888,2.227695,0.020706177,0.009382094,mic_sigs1540.wav
90,3.8841858,4.094193,0.21000719,0.054067235,mic_sigs2281.wav
91,2.8747694,2.9570653,0.082295895,0.028626954,mic_sigs2200.wav
92,4.694401,4.6035523,0.090848446,0.019352512,mic_sigs0265.wav
93,4.6284556,4.513963,0.11449242,0.024736635,mic_sigs0233.wav
94,1.1634861,1.043897,0.11958909,0.10278515,mic_sigs1754.wav
95,1.7457663,1.781886,0.0361197,0.020689882,mic_sigs1376.wav
96,4.7309303,4.8586154,0.12768507,0.02698942,mic_sigs1333.wav
97,9.694689,9.625553,0.069135666,0.007131293,mic_sigs2001.wav
98,4.0128045,4.107558,0.094753265,0.023612728,mic_sigs1709.wav
99,5.890891,5.9245167,0.033625603,0.005708067,mic_sigs0618.wav
100,1.1977061,1.3439159,0.14620984,0.12207489,mic_sigs1286.wav
101,1.3396268,1.4066479,0.06702113,0.050029702,mic_sigs0113.wav
102,5.8043947,5.906459,0.10206413,0.01758394,mic_sigs1172.wav
103,1.7424695,1.7804844,0.03801489,0.021816673,mic_sigs0273.wav
104,7.3265066,7.1283507,0.19815588,0.027046435,mic_sigs1746.wav
105,1.4870777,1.4689977,0.018079996,0.012158071,mic_sigs1031.wav
106,3.3717058,3.2616713,0.110034466,0.032634657,mic_sigs0899.wav
107,1.0321337,1.2492998,0.21716607,0.21040498,mic_sigs0070.wav
108,2.0069878,2.0619595,0.054971695,0.027390148,mic_sigs0391.wav
109,6.2722883,5.817348,0.45494032,0.07253179,mic_sigs1434.wav
110,6.050752,5.9026675,0.14808464,0.024473757,mic_sigs0884.wav
111,1.9807322,1.6327682,0.34796405,0.17567445,mic_sigs2205.wav
112,2.3200216,2.3877902,0.067768574,0.02921032,mic_sigs1067.wav
113,6.244662,5.9189143,0.3257475,0.052164152,mic_sigs0726.wav
114,4.9308114,5.1470723,0.21626091,0.04385909,mic_sigs2400.wav
115,1.3000385,1.414194,0.11415553,0.08780935,mic_sigs1330.wav
116,1.6347477,1.4665377,0.16821003,0.10289663,mic_sigs0487.wav
117,2.5511959,2.7106838,0.15948796,0.06251498,mic_sigs1942.wav
118,3.3927865,3.3181386,0.0746479,0.022001946,mic_sigs0286.wav
119,2.3060138,2.2772121,0.02880168,0.012489812,mic_sigs2066.wav
120,1.1751596,1.4650419,0.2898823,0.24667484,mic_sigs2149.wav
121,7.985775,8.505448,0.51967335,0.06507488,mic_sigs2125.wav
122,10.964442,9.847568,1.1168747,0.10186334,mic_sigs0298.wav
123,3.1110287,3.021583,0.08944559,0.028751131,mic_sigs0543.wav
124,1.3408207,1.2011036,0.1397171,0.10420267,mic_sigs0417.wav
125,7.531175,7.651547,0.12037182,0.015983138,mic_sigs0913.wav
126,8.35467,8.700799,0.34612942,0.041429456,mic_sigs1293.wav
127,3.9103196,3.860189,0.050130606,0.012820079,mic_sigs1771.wav
128,4.264739,3.9094186,0.35532045,0.08331587,mic_sigs1127.wav
129,3.6286774,3.6687655,0.040088177,0.0110476,mic_sigs1758.wav
130,4.39337,4.883213,0.4898429,0.11149593,mic_sigs1331.wav
131,3.3301952,3.209855,0.12034011,0.036136054,mic_sigs1207.wav
132,5.596186,5.817132,0.22094584,0.039481502,mic_sigs1038.wav
133,2.7543964,2.7857845,0.031388044,0.011395616,mic_sigs0932.wav
134,1.5509351,1.2854389,0.26549625,0.17118463,mic_sigs2106.wav
135,9.266618,9.167561,0.0990572,0.010689682,mic_sigs0093.wav
136,6.4292846,6.1382575,0.29102707,0.045265857,mic_sigs0985.wav
137,5.686071,5.8426795,0.15660858,0.027542496,mic_sigs0026.wav
138,1.6321765,1.581335,0.05084157,0.031149553,mic_sigs1581.wav
139,3.5007,3.4662557,0.034444332,0.00983927,mic_sigs1915.wav
140,1.6313798,1.7788448,0.14746499,0.0903928,mic_sigs0809.wav
141,3.4194298,3.3579977,0.061432123,0.017965604,mic_sigs1274.wav
142,5.4333878,5.1479588,0.285429,0.05253242,mic_sigs0039.wav
143,8.020792,7.6276937,0.39309835,0.04900992,mic_sigs0307.wav
144,6.4526353,6.4513946,0.0012407303,0.00019228272,mic_sigs0023.wav
145,4.1180944,4.0113025,0.10679197,0.025932375,mic_sigs0548.wav
146,2.7470713,2.7946157,0.04754448,0.017307334,mic_sigs0990.wav
147,5.3392696,5.364528,0.025258541,0.0047307108,mic_sigs1712.wav
148,4.008641,3.864303,0.14433765,0.036006633,mic_sigs0317.wav
149,10.42391,10.354016,0.06989384,0.006705146,mic_sigs0006.wav
150,4.095278,4.2461596,0.15088177,0.036842864,mic_sigs0326.wav
151,2.675369,2.7426612,0.06729221,0.025152497,mic_sigs1380.wav
152,10.045024,10.052586,0.0075616837,0.0007527791,mic_sigs0762.wav
153,5.393431,5.1930594,0.20037174,0.037151072,mic_sigs1631.wav
154,9.560214,9.327117,0.23309708,0.024381993,mic_sigs0768.wav
155,3.7241375,3.8557057,0.1315682,0.0353285,mic_sigs0947.wav
156,6.269306,5.939544,0.32976198,0.052599438,mic_sigs1916.wav
157,2.5560908,2.395576,0.16051483,0.062796995,mic_sigs0525.wav
158,4.9076877,4.870691,0.03699684,0.0075385487,mic_sigs2207.wav
159,8.83252,8.45232,0.38019943,0.04304541,mic_sigs2457.wav
160,2.4305348,2.3215601,0.108974695,0.044835687,mic_sigs2077.wav
161,6.5923367,6.784061,0.1917243,0.029082906,mic_sigs0589.wav
162,2.3226063,2.031236,0.2913704,0.12544975,mic_sigs1312.wav
163,4.142475,4.0230064,0.11946869,0.028839929,mic_sigs1784.wav
164,1.9929124,1.8756201,0.117292285,0.05885471,mic_sigs2263.wav
165,3.0841854,3.129389,0.045203686,0.014656604,mic_sigs1391.wav
166,6.5246377,6.9717984,0.44716072,0.06853418,mic_sigs0941.wav
167,1.8042173,1.7715436,0.032673717,0.018109635,mic_sigs0974.wav
168,3.3589432,3.340542,0.018401146,0.0054782545,mic_sigs1275.wav
169,2.1044714,1.9858494,0.118622065,0.05636668,mic_sigs2094.wav
170,3.7758973,3.8738616,0.09796429,0.025944637,mic_sigs0572.wav
171,3.5407486,3.4355545,0.10519409,0.029709563,mic_sigs1715.wav
172,1.3576819,1.679515,0.32183313,0.23704606,mic_sigs0817.wav
173,5.2051034,5.128495,0.07660818,0.014717898,mic_sigs2109.wav
