,GT,Pred,L1,rL1,ID
0,4.81889,3.4502714,1.3686187,0.2840112,mic_sigs2233.wav
1,5.125866,3.2801821,1.8456838,0.36007258,mic_sigs0352.wav
2,10.217231,4.5647326,5.6524982,0.5532319,mic_sigs1370.wav
3,3.1182528,3.9293032,0.8110504,0.2600977,mic_sigs1019.wav
4,3.3343666,2.52631,0.8080566,0.24234186,mic_sigs0334.wav
5,3.7454638,3.5888658,0.15659809,0.041810066,mic_sigs1469.wav
6,6.821635,5.4707723,1.3508625,0.19802621,mic_sigs2329.wav
7,1.0686908,1.519108,0.45041728,0.4214664,mic_sigs1517.wav
8,3.9438179,7.1669693,3.2231514,0.8172668,mic_sigs2038.wav
9,4.270609,3.3136065,0.9570024,0.22409038,mic_sigs2141.wav
10,8.048242,9.434929,1.3866873,0.17229693,mic_sigs0053.wav
11,1.7137386,1.8231784,0.10943985,0.0638603,mic_sigs2392.wav
12,1.3770984,2.3830462,1.0059477,0.73048353,mic_sigs0110.wav
13,7.4811563,9.568031,2.086875,0.27895087,mic_sigs0187.wav
14,2.3937418,3.5198998,1.126158,0.47045925,mic_sigs2243.wav
15,1.1789402,2.602699,1.4237589,1.20766,mic_sigs1338.wav
16,4.9513836,2.9077795,2.0436041,0.41273394,mic_sigs1775.wav
17,4.9401317,2.627229,2.3129027,0.46818644,mic_sigs1706.wav
18,4.4559736,5.8891616,1.433188,0.32163295,mic_sigs0104.wav
19,3.2787955,1.7826195,1.496176,0.4563188,mic_sigs0318.wav
20,5.6540074,6.011511,0.3575034,0.06323009,mic_sigs0568.wav
21,6.3067346,7.656432,1.3496976,0.21400894,mic_sigs2482.wav
22,5.1921287,3.7722971,1.4198315,0.27345845,mic_sigs0313.wav
23,3.9599242,1.6613796,2.2985446,0.58045167,mic_sigs1490.wav
24,5.5782166,8.7273245,3.149108,0.5645367,mic_sigs1319.wav
25,2.3152106,2.532861,0.21765041,0.09400891,mic_sigs2198.wav
26,1.0506189,1.4190875,0.36846864,0.3507158,mic_sigs1786.wav
27,1.2548307,0.8296764,0.42515433,0.33881408,mic_sigs0623.wav
28,5.555205,2.6492963,2.9059086,0.52309656,mic_sigs1663.wav
29,1.6589454,2.1794717,0.5205263,0.31376937,mic_sigs1600.wav
30,4.841942,3.9893084,0.8526335,0.1760933,mic_sigs0898.wav
31,4.5872107,3.8275433,0.7596674,0.16560552,mic_sigs1069.wav
32,5.205238,4.8465066,0.35873127,0.068917364,mic_sigs0673.wav
33,7.5155973,6.8839483,0.631649,0.08404508,mic_sigs1448.wav
34,2.486403,5.7000856,3.2136827,1.2925028,mic_sigs1525.wav
35,4.3288913,5.9344435,1.6055522,0.37089226,mic_sigs1249.wav
36,3.1943388,1.8629063,1.3314325,0.41681004,mic_sigs1684.wav
37,5.534302,9.347215,3.8129125,0.68895996,mic_sigs1388.wav
38,5.5860987,8.435374,2.8492756,0.5100654,mic_sigs0886.wav
39,2.8317838,4.3310404,1.4992566,0.529439,mic_sigs1100.wav
40,3.8182456,4.2029386,0.3846929,0.10075122,mic_sigs0025.wav
41,4.1015363,2.0962424,2.0052938,0.48891285,mic_sigs2389.wav
42,1.269685,2.098664,0.828979,0.6529013,mic_sigs0894.wav
43,1.3173459,1.2675017,0.049844146,0.037836794,mic_sigs1981.wav
44,2.7552857,5.0925627,2.337277,0.8482884,mic_sigs1702.wav
45,1.3489255,4.087406,2.7384806,2.03012,mic_sigs2092.wav
46,2.64248,3.5817392,0.9392593,0.35544613,mic_sigs1256.wav
47,2.903257,3.207421,0.30416417,0.10476654,mic_sigs2379.wav
48,8.214408,3.9102674,4.3041406,0.52397454,mic_sigs1261.wav
49,7.9793234,7.306964,0.67235947,0.084262714,mic_sigs1201.wav
50,4.7264996,4.1516156,0.57488394,0.12162995,mic_sigs1983.wav
51,3.4740322,3.6198409,0.1458087,0.041971028,mic_sigs1807.wav
52,2.9207704,2.8504906,0.07027984,0.02406209,mic_sigs1865.wav
53,5.6301775,7.3774858,1.7473083,0.31034693,mic_sigs1073.wav
54,1.7994721,2.4405384,0.6410663,0.35625243,mic_sigs0828.wav
55,2.466617,1.7193426,0.7472745,0.3029552,mic_sigs1477.wav
56,8.599355,7.9602547,0.6391001,0.07431954,mic_sigs1704.wav
57,3.2351506,2.5178869,0.7172637,0.22170952,mic_sigs1800.wav
58,3.0968695,2.259622,0.8372474,0.2703528,mic_sigs0237.wav
59,5.1177144,8.345503,3.2277884,0.630709,mic_sigs1506.wav
60,3.1166809,4.771066,1.6543853,0.5308164,mic_sigs2304.wav
61,3.0063598,3.513864,0.5075042,0.1688102,mic_sigs1161.wav
62,6.5764046,4.9238195,1.652585,0.25129005,mic_sigs2279.wav
63,2.4344404,5.319281,2.8848407,1.1850119,mic_sigs2307.wav
64,1.4402777,1.8947438,0.4544661,0.3155406,mic_sigs1544.wav
65,7.63875,8.435761,0.7970114,0.10433793,mic_sigs0522.wav
66,2.7692056,2.31351,0.45569563,0.16455825,mic_sigs0047.wav
67,3.6583467,7.6046157,3.946269,1.0787029,mic_sigs1829.wav
68,4.1303997,3.8794856,0.2509141,0.060748138,mic_sigs2365.wav
69,7.8686404,7.269165,0.5994754,0.07618538,mic_sigs1158.wav
70,1.8476472,3.0991898,1.2515426,0.67737097,mic_sigs1441.wav
71,3.974846,3.3985095,0.5763364,0.14499591,mic_sigs0692.wav
72,1.4378804,2.7672,1.3293196,0.92449945,mic_sigs0857.wav
73,2.3836527,4.3293495,1.9456968,0.8162669,mic_sigs1361.wav
74,1.8810104,2.0946064,0.21359599,0.11355386,mic_sigs1396.wav
75,2.4617271,3.348551,0.8868239,0.3602446,mic_sigs1397.wav
76,5.269393,9.1351185,3.8657255,0.73361874,mic_sigs1794.wav
77,2.4203513,3.4598703,1.0395191,0.42949098,mic_sigs2148.wav
78,9.0101385,6.9982796,2.011859,0.22328834,mic_sigs1282.wav
79,5.31496,4.029138,1.2858219,0.24192505,mic_sigs0769.wav
80,1.2943724,6.140123,4.8457503,3.7437065,mic_sigs2031.wav
81,3.8451009,3.1768005,0.6683004,0.17380568,mic_sigs0164.wav
82,3.0426798,2.4032142,0.6394656,0.21016525,mic_sigs1470.wav
83,5.1168447,5.581707,0.46486235,0.090849414,mic_sigs1980.wav
84,4.510987,6.185627,1.6746402,0.37123588,mic_sigs1938.wav
85,4.830176,2.263101,2.5670748,0.5314661,mic_sigs0287.wav
86,5.221293,4.878176,0.34311676,0.0657149,mic_sigs0831.wav
87,3.1952777,2.1908507,1.004427,0.31434733,mic_sigs1698.wav
88,3.9549968,3.7018852,0.2531116,0.063997924,mic_sigs1906.wav
89,2.2069888,2.4948351,0.28784633,0.13042492,mic_sigs1540.wav
90,3.8841858,3.6584048,0.22578096,0.05812826,mic_sigs2281.wav
91,2.8747694,2.5788176,0.29595184,0.102948025,mic_sigs2200.wav
92,4.694401,5.0114827,0.31708193,0.067544706,mic_sigs0265.wav
93,4.6284556,3.2992558,1.3291998,0.28717998,mic_sigs0233.wav
94,1.1634861,0.90307325,0.26041287,0.22382121,mic_sigs1754.wav
95,1.7457663,3.0408602,1.2950939,0.7418484,mic_sigs1376.wav
96,4.7309303,4.092878,0.63805246,0.13486828,mic_sigs1333.wav
97,9.694689,11.0186205,1.3239317,0.13656257,mic_sigs2001.wav
98,4.0128045,4.825473,0.8126683,0.20251879,mic_sigs1709.wav
99,5.890891,9.777999,3.8871078,0.6598506,mic_sigs0618.wav
100,1.1977061,1.3313416,0.13363552,0.11157622,mic_sigs1286.wav
101,1.3396268,1.4621166,0.12248981,0.091435775,mic_sigs0113.wav
102,5.8043947,4.991653,0.81274176,0.14002179,mic_sigs1172.wav
103,1.7424695,2.827643,1.0851734,0.62277895,mic_sigs0273.wav
104,7.3265066,7.789446,0.46293926,0.06318691,mic_sigs1746.wav
105,1.4870777,1.2395254,0.24755228,0.16646896,mic_sigs1031.wav
106,3.3717058,3.1772003,0.19450545,0.05768755,mic_sigs0899.wav
107,1.0321337,1.5220276,0.4898939,0.47464192,mic_sigs0070.wav
108,2.0069878,1.3905902,0.6163976,0.30712575,mic_sigs0391.wav
109,6.2722883,4.194909,2.0773792,0.3311996,mic_sigs1434.wav
110,6.050752,3.72632,2.3244321,0.3841559,mic_sigs0884.wav
111,1.9807322,1.350217,0.6305152,0.31832433,mic_sigs2205.wav
112,2.3200216,4.2407303,1.9207087,0.82788396,mic_sigs1067.wav
113,6.244662,4.890101,1.3545609,0.21691501,mic_sigs0726.wav
114,4.9308114,2.2970858,2.6337256,0.53413635,mic_sigs2400.wav
115,1.3000385,1.7485579,0.44851947,0.34500477,mic_sigs1330.wav
116,1.6347477,2.768909,1.1341612,0.69378364,mic_sigs0487.wav
117,2.5511959,7.4257097,4.8745136,1.9106779,mic_sigs1942.wav
118,3.3927865,2.1512628,1.2415237,0.3659304,mic_sigs0286.wav
119,2.3060138,2.9343715,0.62835765,0.2724865,mic_sigs2066.wav
120,1.1751596,1.3885163,0.21335673,0.18155554,mic_sigs2149.wav
121,7.985775,2.909287,5.076488,0.63569134,mic_sigs2125.wav
122,10.964442,9.730499,1.233943,0.112540424,mic_sigs0298.wav
123,3.1110287,4.2458544,1.1348257,0.36477506,mic_sigs0543.wav
124,1.3408207,1.0310868,0.30973387,0.2310032,mic_sigs0417.wav
125,7.531175,4.0715694,3.4596057,0.4593713,mic_sigs0913.wav
126,8.35467,6.949864,1.4048057,0.16814616,mic_sigs1293.wav
127,3.9103196,4.5192003,0.60888076,0.15571125,mic_sigs1771.wav
128,4.264739,5.912443,1.6477041,0.3863552,mic_sigs1127.wav
129,3.6286774,3.0200412,0.60863614,0.16772947,mic_sigs1758.wav
130,4.39337,6.228641,1.8352709,0.41773647,mic_sigs1331.wav
131,3.3301952,4.847842,1.517647,0.45572314,mic_sigs1207.wav
132,5.596186,4.259292,1.336894,0.23889378,mic_sigs1038.wav
133,2.7543964,5.459987,2.7055907,0.9822808,mic_sigs0932.wav
134,1.5509351,1.9806141,0.42967892,0.27704507,mic_sigs2106.wav
135,9.266618,6.4738607,2.792757,0.30137825,mic_sigs0093.wav
136,6.4292846,7.2124014,0.7831168,0.12180466,mic_sigs0985.wav
137,5.686071,5.395876,0.290195,0.05103612,mic_sigs0026.wav
138,1.6321765,3.613275,1.9810985,1.2137772,mic_sigs1581.wav
139,3.5007,8.426677,4.9259768,1.4071405,mic_sigs1915.wav
140,1.6313798,3.4967852,1.8654053,1.1434525,mic_sigs0809.wav
141,3.4194298,8.0433035,4.6238737,1.3522353,mic_sigs1274.wav
142,5.4333878,7.858665,2.4252772,0.44636557,mic_sigs0039.wav
143,8.020792,7.3906293,0.6301627,0.07856615,mic_sigs0307.wav
144,6.4526353,4.0942793,2.358356,0.36548725,mic_sigs0023.wav
145,4.1180944,7.647861,3.5297666,0.8571359,mic_sigs0548.wav
146,2.7470713,1.8742439,0.8728274,0.31773016,mic_sigs0990.wav
147,5.3392696,2.3766947,2.962575,0.5548652,mic_sigs1712.wav
148,4.008641,9.882701,5.87406,1.4653496,mic_sigs0317.wav
149,10.42391,3.136252,7.287658,0.69912905,mic_sigs0006.wav
150,4.095278,3.4328709,0.6624069,0.16174896,mic_sigs0326.wav
151,2.675369,2.5446734,0.13069558,0.048851423,mic_sigs1380.wav
152,10.045024,6.1251163,3.9199076,0.39023378,mic_sigs0762.wav
153,5.393431,3.6184533,1.7749779,0.32909995,mic_sigs1631.wav
154,9.560214,7.950555,1.6096592,0.16837062,mic_sigs0768.wav
155,3.7241375,2.9082243,0.8159132,0.21908782,mic_sigs0947.wav
156,6.269306,2.5370283,3.7322779,0.5953255,mic_sigs1916.wav
157,2.5560908,3.292738,0.7366471,0.28819287,mic_sigs0525.wav
158,4.9076877,3.618525,1.2891626,0.2626823,mic_sigs2207.wav
159,8.83252,7.989324,0.84319544,0.095464885,mic_sigs2457.wav
160,2.4305348,2.300591,0.12994385,0.053463068,mic_sigs2077.wav
161,6.5923367,5.1290483,1.4632883,0.22196808,mic_sigs0589.wav
162,2.3226063,3.285033,0.96242666,0.41437358,mic_sigs1312.wav
163,4.142475,4.201883,0.05940771,0.014341115,mic_sigs1784.wav
164,1.9929124,2.440337,0.44742453,0.22450787,mic_sigs2263.wav
165,3.0841854,7.5344014,4.4502163,1.4429147,mic_sigs1391.wav
166,6.5246377,9.519457,2.9948192,0.4590016,mic_sigs0941.wav
167,1.8042173,2.060024,0.25580668,0.14178263,mic_sigs0974.wav
168,3.3589432,9.076182,5.7172394,1.7020947,mic_sigs1275.wav
169,2.1044714,3.9786868,1.8742154,0.8905872,mic_sigs2094.wav
170,3.7758973,6.221356,2.4454587,0.6476497,mic_sigs0572.wav
171,3.5407486,3.0967436,0.444005,0.12539862,mic_sigs1715.wav
172,1.3576819,1.8925575,0.53487563,0.3939624,mic_sigs0817.wav
173,5.2051034,6.910655,1.7055516,0.3276691,mic_sigs2109.wav
174,4.951959,4.9408507,0.011108398,0.0022432331,mic_sigs2218.wav
175,8.758276,9.269224,0.5109482,0.0583389,mic_sigs1518.wav
176,6.1581817,5.2319674,0.9262142,0.15040384,mic_sigs0699.wav
177,4.7410655,6.179487,1.4384217,0.30339628,mic_sigs0547.wav
178,7.9142528,3.6001205,4.314132,0.5451092,mic_sigs0515.wav
179,2.0485604,2.180881,0.13232064,0.06459201,mic_sigs2464.wav
180,2.7712812,2.0399919,0.7312894,0.26388133,mic_sigs0028.wav
181,1.2986916,1.8087621,0.51007044,0.39275718,mic_sigs0516.wav
182,1.3042623,1.4751848,0.17092252,0.13104919,mic_sigs1774.wav
183,10.115637,5.4192657,4.696371,0.46426845,mic_sigs0644.wav
184,2.682294,2.1076798,0.57461405,0.21422486,mic_sigs2401.wav
185,2.160324,3.9638135,1.8034894,0.83482355,mic_sigs1756.wav
186,2.3275094,2.1537085,0.17380095,0.0746725,mic_sigs0608.wav
187,3.901141,3.0654154,0.83572555,0.21422593,mic_sigs1563.wav
188,1.2869344,0.81876874,0.46816564,0.3637836,mic_sigs2065.wav
189,7.757667,3.9673753,3.7902918,0.48858654,mic_sigs2275.wav
190,1.2463547,0.9017286,0.34462613,0.27650726,mic_sigs2123.wav
191,4.860761,3.6199496,1.2408116,0.25527105,mic_sigs1496.wav
192,5.4952617,5.1526556,0.34260607,0.062345725,mic_sigs1690.wav
193,2.8116543,9.091376,6.279722,2.2334616,mic_sigs2137.wav
194,3.8841858,5.76863,1.8844442,0.48515812,mic_sigs1902.wav
195,1.4935528,1.8774897,0.38393688,0.25706282,mic_sigs1739.wav
196,1.3080138,4.008847,2.7008333,2.0648355,mic_sigs1999.wav
197,6.4546185,6.7990828,0.3444643,0.053367104,mic_sigs0734.wav
