,GT,Pred,L1,rL1,ID
0,4.81889,1.9430227,2.8758674,0.59679043,mic_sigs2233.wav
1,5.125866,3.3196006,1.8062654,0.35238248,mic_sigs0352.wav
2,10.217231,8.5146265,1.7026043,0.16664049,mic_sigs1370.wav
3,3.1182528,2.404845,0.71340775,0.22878446,mic_sigs1019.wav
4,3.3343666,5.188227,1.8538606,0.55598587,mic_sigs0334.wav
5,3.7454638,1.6266029,2.118861,0.5657139,mic_sigs1469.wav
6,6.821635,5.84702,0.9746146,0.14287113,mic_sigs2329.wav
7,1.0686908,2.580118,1.5114272,1.4142792,mic_sigs1517.wav
8,3.9438179,3.7433133,0.20050454,0.050840214,mic_sigs2038.wav
9,4.270609,0.10830501,4.162304,0.9746395,mic_sigs2141.wav
10,8.048242,7.024319,1.0239224,0.12722312,mic_sigs0053.wav
11,1.7137386,4.188388,2.4746494,1.4440064,mic_sigs2392.wav
12,1.3770984,0.39754292,0.9795555,0.71131843,mic_sigs0110.wav
13,7.4811563,8.507662,1.0265055,0.13721214,mic_sigs0187.wav
14,2.3937418,5.411993,3.0182512,1.2608925,mic_sigs2243.wav
15,1.1789402,2.5528436,1.3739034,1.1653715,mic_sigs1338.wav
16,4.9513836,2.527538,2.4238455,0.48952892,mic_sigs1775.wav
17,4.9401317,4.4024568,0.5376749,0.10883817,mic_sigs1706.wav
18,4.4559736,4.7172165,0.26124287,0.05862756,mic_sigs0104.wav
19,3.2787955,0.8878223,2.390973,0.729223,mic_sigs0318.wav
20,5.6540074,3.8797631,1.7742443,0.31380296,mic_sigs0568.wav
21,6.3067346,6.2463784,0.06035614,0.00957011,mic_sigs2482.wav
22,5.1921287,5.3806086,0.1884799,0.036301084,mic_sigs0313.wav
23,3.9599242,4.186549,0.22662497,0.057229623,mic_sigs1490.wav
24,5.5782166,4.562496,1.0157204,0.18208694,mic_sigs1319.wav
25,2.3152106,1.603158,0.7120526,0.30755413,mic_sigs2198.wav
26,1.0506189,3.8886204,2.8380015,2.7012663,mic_sigs1786.wav
27,1.2548307,0.1664697,1.088361,0.8673369,mic_sigs0623.wav
28,5.555205,2.8804605,2.6747444,0.48148438,mic_sigs1663.wav
29,1.6589454,3.4049995,1.746054,1.0525085,mic_sigs1600.wav
30,4.841942,0.09188166,4.75006,0.9810238,mic_sigs0898.wav
31,4.5872107,2.7432501,1.8439605,0.4019786,mic_sigs1069.wav
32,5.205238,2.469307,2.735931,0.5256111,mic_sigs0673.wav
33,7.5155973,7.715033,0.19943571,0.026536243,mic_sigs1448.wav
34,2.486403,3.4382052,0.95180225,0.3828029,mic_sigs1525.wav
35,4.3288913,4.039477,0.2894144,0.06685647,mic_sigs1249.wav
36,3.1943388,2.297189,0.8971498,0.2808562,mic_sigs1684.wav
37,5.534302,5.300577,0.23372507,0.042232074,mic_sigs1388.wav
38,5.5860987,4.5200915,1.0660071,0.19083214,mic_sigs0886.wav
39,2.8317838,4.842823,2.0110393,0.71016693,mic_sigs1100.wav
