,GT,Pred,L1,rL1,ID
0,4.81889,4.5911503,0.22773981,0.047259808,mic_sigs2233.wav
1,5.125866,4.7798023,0.3460636,0.0675132,mic_sigs0352.wav
2,10.217231,5.946976,4.2702546,0.41794637,mic_sigs1370.wav
3,3.1182528,3.1309724,0.012719631,0.004079089,mic_sigs1019.wav
4,3.3343666,4.9097433,1.5753767,0.4724666,mic_sigs0334.wav
5,3.7454638,3.025905,0.71955895,0.19211477,mic_sigs1469.wav
6,6.821635,6.340504,0.4811306,0.0705301,mic_sigs2329.wav
7,1.0686908,0.71824104,0.35044974,0.32792437,mic_sigs1517.wav
8,3.9438179,6.8265786,2.8827608,0.73095685,mic_sigs2038.wav
9,4.270609,3.3597596,0.91084933,0.21328324,mic_sigs2141.wav
10,8.048242,7.0737967,0.97444487,0.121075496,mic_sigs0053.wav
11,1.7137386,1.0939891,0.6197494,0.36163592,mic_sigs2392.wav
12,1.3770984,2.4155686,1.0384701,0.75410014,mic_sigs0110.wav
13,7.4811563,7.9065347,0.42537832,0.05685997,mic_sigs0187.wav
14,2.3937418,2.8706543,0.4769125,0.19923306,mic_sigs2243.wav
15,1.1789402,2.4756508,1.2967106,1.0998951,mic_sigs1338.wav
16,4.9513836,4.7212796,0.23010397,0.04647266,mic_sigs1775.wav
17,4.9401317,4.4699545,0.47017717,0.09517503,mic_sigs1706.wav
18,4.4559736,4.6708856,0.21491194,0.048230074,mic_sigs0104.wav
19,3.2787955,2.4370654,0.8417301,0.25671932,mic_sigs0318.wav
20,5.6540074,5.5679855,0.0860219,0.015214324,mic_sigs0568.wav
21,6.3067346,8.271398,1.964663,0.31151828,mic_sigs2482.wav
22,5.1921287,7.564452,2.3723235,0.4569077,mic_sigs0313.wav
23,3.9599242,3.6084378,0.35148644,0.088760905,mic_sigs1490.wav
24,5.5782166,6.056254,0.47803736,0.08569717,mic_sigs1319.wav
25,2.3152106,2.482925,0.16771436,0.072440214,mic_sigs2198.wav
26,1.0506189,0.7031462,0.34747267,0.33073142,mic_sigs1786.wav
27,1.2548307,1.4186296,0.16379893,0.13053468,mic_sigs0623.wav
28,5.555205,4.23568,1.3195248,0.23752946,mic_sigs1663.wav
29,1.6589454,1.5683128,0.09063268,0.054632705,mic_sigs1600.wav
30,4.841942,5.0026374,0.16069555,0.033188246,mic_sigs0898.wav
31,4.5872107,6.3132544,1.7260437,0.37627304,mic_sigs1069.wav
32,5.205238,5.0976048,0.107633114,0.020677848,mic_sigs0673.wav
33,7.5155973,6.310196,1.2054014,0.16038664,mic_sigs1448.wav
34,2.486403,3.543263,1.05686,0.42505577,mic_sigs1525.wav
35,4.3288913,3.3901768,0.9387145,0.21684872,mic_sigs1249.wav
36,3.1943388,1.9337099,1.2606289,0.3946447,mic_sigs1684.wav
37,5.534302,6.6294703,1.0951681,0.1978873,mic_sigs1388.wav
38,5.5860987,5.858641,0.27254248,0.04878941,mic_sigs0886.wav
39,2.8317838,2.763459,0.068324804,0.024127832,mic_sigs1100.wav
40,3.8182456,2.562005,1.2562406,0.3290099,mic_sigs0025.wav
41,4.1015363,2.868932,1.2326043,0.30052257,mic_sigs2389.wav
42,1.269685,1.6991103,0.42942524,0.33821398,mic_sigs0894.wav
43,1.3173459,1.6983651,0.38101923,0.2892325,mic_sigs1981.wav
44,2.7552857,2.5398743,0.21541142,0.078181155,mic_sigs1702.wav
45,1.3489255,2.9946554,1.6457299,1.2200303,mic_sigs2092.wav
46,2.64248,5.0650506,2.4225707,0.9167792,mic_sigs1256.wav
47,2.903257,3.4017165,0.49845958,0.1716898,mic_sigs2379.wav
48,8.214408,5.797338,2.41707,0.2942476,mic_sigs1261.wav
49,7.9793234,5.991656,1.9876676,0.24910226,mic_sigs1201.wav
50,4.7264996,3.7456903,0.9808092,0.20751281,mic_sigs1983.wav
51,3.4740322,2.2049365,1.2690957,0.36530912,mic_sigs1807.wav
52,2.9207704,2.8967848,0.023985624,0.008212089,mic_sigs1865.wav
53,5.6301775,3.60419,2.0259874,0.35984433,mic_sigs1073.wav
54,1.7994721,2.7598834,0.9604113,0.53371835,mic_sigs0828.wav
55,2.466617,1.7703623,0.69625485,0.28227115,mic_sigs1477.wav
56,8.599355,5.6867375,2.9126172,0.33870184,mic_sigs1704.wav
57,3.2351506,2.1404743,1.0946763,0.3383695,mic_sigs1800.wav
58,3.0968695,3.175485,0.07861543,0.02538545,mic_sigs0237.wav
59,5.1177144,5.9526157,0.83490133,0.16313949,mic_sigs1506.wav
60,3.1166809,5.3842835,2.2676027,0.72756976,mic_sigs2304.wav
61,3.0063598,3.327106,0.32074618,0.10668922,mic_sigs1161.wav
62,6.5764046,3.5428936,3.033511,0.46127194,mic_sigs2279.wav
63,2.4344404,2.2686915,0.16574883,0.068084985,mic_sigs2307.wav
64,1.4402777,2.3448038,0.9045261,0.628022,mic_sigs1544.wav
65,7.63875,6.7495637,0.8891864,0.1164047,mic_sigs0522.wav
66,2.7692056,3.9576888,1.1884832,0.42917842,mic_sigs0047.wav
67,3.6583467,3.328116,0.3302307,0.09026775,mic_sigs1829.wav
68,4.1303997,5.167407,1.0370073,0.25106707,mic_sigs2365.wav
69,7.8686404,6.469662,1.3989782,0.17779161,mic_sigs1158.wav
70,1.8476472,3.9633143,2.115667,1.1450601,mic_sigs1441.wav
71,3.974846,3.1069403,0.8679056,0.2183495,mic_sigs0692.wav
72,1.4378804,1.809726,0.3718456,0.25860676,mic_sigs0857.wav
73,2.3836527,4.345026,1.9613733,0.8228436,mic_sigs1361.wav
74,1.8810104,2.6862462,0.80523574,0.42808682,mic_sigs1396.wav
75,2.4617271,5.029819,2.5680919,1.0432074,mic_sigs1397.wav
76,5.269393,4.1167316,1.1526613,0.21874651,mic_sigs1794.wav
77,2.4203513,4.115649,1.695298,0.7004347,mic_sigs2148.wav
78,9.0101385,7.0748224,1.9353161,0.21479316,mic_sigs1282.wav
79,5.31496,5.2449746,0.06998539,0.013167623,mic_sigs0769.wav
80,1.2943724,2.5407178,1.2463454,0.9628955,mic_sigs2031.wav
81,3.8451009,3.871364,0.026263237,0.0068303114,mic_sigs0164.wav
82,3.0426798,2.775836,0.2668438,0.087700255,mic_sigs1470.wav
83,5.1168447,6.583159,1.4663143,0.2865661,mic_sigs1980.wav
84,4.510987,4.562998,0.052011013,0.011529853,mic_sigs1938.wav
85,4.830176,3.6572351,1.1729407,0.24283603,mic_sigs0287.wav
86,5.221293,6.0535474,0.8322544,0.15939623,mic_sigs0831.wav
87,3.1952777,2.085444,1.1098337,0.3473356,mic_sigs1698.wav
88,3.9549968,2.690231,1.2647657,0.31978932,mic_sigs1906.wav
89,2.2069888,3.309177,1.1021881,0.4994081,mic_sigs1540.wav
90,3.8841858,4.471559,0.58737326,0.15122172,mic_sigs2281.wav
91,2.8747694,4.5677633,1.6929939,0.58891463,mic_sigs2200.wav
92,4.694401,4.7830997,0.088698864,0.018894609,mic_sigs0265.wav
