,GT,Pred,L1,rL1,ID
0,4.81889,4.086471,0.732419,0.15198915,mic_sigs2233.wav
1,5.125866,4.7432256,0.38264036,0.074648924,mic_sigs0352.wav
2,10.217231,9.098203,1.1190281,0.10952362,mic_sigs1370.wav
3,3.1182528,2.652937,0.46531582,0.14922325,mic_sigs1019.wav
4,3.3343666,3.2462103,0.08815622,0.026438672,mic_sigs0334.wav
5,3.7454638,3.8743072,0.12884331,0.034399826,mic_sigs1469.wav
6,6.821635,6.708877,0.11275768,0.016529422,mic_sigs2329.wav
7,1.0686908,1.1255631,0.056872368,0.05321686,mic_sigs1517.wav
8,3.9438179,4.216093,0.2722752,0.06903849,mic_sigs2038.wav
9,4.270609,4.5523076,0.2816987,0.06596219,mic_sigs2141.wav
10,8.048242,7.8414392,0.20680237,0.025695348,mic_sigs0053.wav
11,1.7137386,1.4299364,0.28380215,0.16560411,mic_sigs2392.wav
12,1.3770984,1.2908177,0.0862807,0.06265398,mic_sigs0110.wav
13,7.4811563,7.8771467,0.39599037,0.052931707,mic_sigs0187.wav
14,2.3937418,2.2743368,0.11940503,0.049882166,mic_sigs2243.wav
15,1.1789402,1.5463105,0.36737037,0.3116107,mic_sigs1338.wav
16,4.9513836,4.5290504,0.42233324,0.085296005,mic_sigs1775.wav
17,4.9401317,5.2575083,0.3173766,0.06424457,mic_sigs1706.wav
18,4.4559736,3.8454967,0.610477,0.13700193,mic_sigs0104.wav
19,3.2787955,2.9517372,0.32705832,0.099749535,mic_sigs0318.wav
20,5.6540074,5.893003,0.23899555,0.042270117,mic_sigs0568.wav
21,6.3067346,6.392855,0.086120605,0.01365534,mic_sigs2482.wav
22,5.1921287,5.4344482,0.24231958,0.046670567,mic_sigs0313.wav
23,3.9599242,4.059646,0.09972191,0.025182782,mic_sigs1490.wav
24,5.5782166,6.747789,1.1695724,0.20966779,mic_sigs1319.wav
25,2.3152106,2.2358773,0.079333305,0.03426613,mic_sigs2198.wav
26,1.0506189,1.6809609,0.630342,0.59997207,mic_sigs1786.wav
27,1.2548307,1.8024515,0.5476208,0.43641007,mic_sigs0623.wav
28,5.555205,5.5649576,0.00975275,0.0017556059,mic_sigs1663.wav
29,1.6589454,2.5647051,0.9057597,0.5459852,mic_sigs1600.wav
30,4.841942,4.370806,0.47113562,0.09730303,mic_sigs0898.wav
31,4.5872107,4.091476,0.4957347,0.108068876,mic_sigs1069.wav
32,5.205238,4.989693,0.2155447,0.041409194,mic_sigs0673.wav
33,7.5155973,7.0829244,0.43267298,0.057570007,mic_sigs1448.wav
34,2.486403,2.6272016,0.14079857,0.05662741,mic_sigs1525.wav
35,4.3288913,4.1352563,0.19363499,0.04473085,mic_sigs1249.wav
