,GT,Pred,L1,rL1,ID
0,4.81889,4.501647,0.3172431,0.06583323,mic_sigs2233.wav
1,5.125866,2.9275033,2.1983626,0.42887634,mic_sigs0352.wav
2,10.217231,4.10641,6.110821,0.59808975,mic_sigs1370.wav
3,3.1182528,6.5956907,3.477438,1.115188,mic_sigs1019.wav
4,3.3343666,5.4230227,2.0886562,0.6264027,mic_sigs0334.wav
5,3.7454638,4.1068907,0.36142683,0.096497215,mic_sigs1469.wav
6,6.821635,6.20361,0.6180248,0.090597756,mic_sigs2329.wav
7,1.0686908,0.17652531,0.8921655,0.834821,mic_sigs1517.wav
8,3.9438179,5.638816,1.694998,0.4297861,mic_sigs2038.wav
9,4.270609,4.5303364,0.25972748,0.060817435,mic_sigs2141.wav
10,8.048242,6.9102173,1.1380243,0.14140037,mic_sigs0053.wav
11,1.7137386,-0.3370244,2.050763,1.1966603,mic_sigs2392.wav
12,1.3770984,2.7189536,1.3418552,0.9744076,mic_sigs0110.wav
13,7.4811563,7.3732357,0.10792065,0.014425664,mic_sigs0187.wav
14,2.3937418,5.1072283,2.7134864,1.1335752,mic_sigs2243.wav
15,1.1789402,1.7180607,0.53912055,0.45729256,mic_sigs1338.wav
16,4.9513836,5.4101696,0.458786,0.09265814,mic_sigs1775.wav
17,4.9401317,1.8596227,3.080509,0.6235682,mic_sigs1706.wav
18,4.4559736,4.321632,0.13434172,0.03014868,mic_sigs0104.wav
19,3.2787955,2.9766402,0.30215526,0.09215435,mic_sigs0318.wav
20,5.6540074,4.762278,0.89172935,0.15771633,mic_sigs0568.wav
21,6.3067346,4.6347585,1.6719761,0.26510963,mic_sigs2482.wav
22,5.1921287,4.0451283,1.1470003,0.22091138,mic_sigs0313.wav
23,3.9599242,4.7659574,0.80603313,0.20354761,mic_sigs1490.wav
24,5.5782166,3.7154949,1.8627217,0.3339278,mic_sigs1319.wav
25,2.3152106,4.1582055,1.8429949,0.79603773,mic_sigs2198.wav
26,1.0506189,1.895494,0.8448751,0.80416894,mic_sigs1786.wav
27,1.2548307,0.9376144,0.31721634,0.2527961,mic_sigs0623.wav
28,5.555205,3.2003589,2.354846,0.42389902,mic_sigs1663.wav
29,1.6589454,1.9638939,0.30494845,0.18382066,mic_sigs1600.wav
30,4.841942,3.490797,1.3511448,0.2790502,mic_sigs0898.wav
31,4.5872107,5.4279222,0.8407116,0.18327294,mic_sigs1069.wav
32,5.205238,3.5823917,1.6228461,0.31177175,mic_sigs0673.wav
